item_id,store_id,date,explanation,predicted_sales
item_36,store_4,2020-11-16,"price: 0.16, promotion: -0.93, day_of_week: -0.07, holiday: 0.09, lagged_sales: -0.43, event: 0.18",78.98
item_1078,store_5,2022-09-19,"price: 0.08, promotion: 0.27, day_of_week: 0.45, holiday: 0.95, lagged_sales: 0.03, event: -0.35",805.43
item_1975,store_5,2024-02-06,"price: -0.52, promotion: -0.81, day_of_week: -0.63, holiday: 0.87, lagged_sales: 0.28, event: 0.03",674.26
item_154,store_3,2022-09-23,"price: -0.05, promotion: -0.8, day_of_week: -0.02, holiday: -0.05, lagged_sales: -0.65, event: -0.13",428.58
item_2850,store_4,2023-05-31,"price: 0.28, promotion: -0.95, day_of_week: 0.17, holiday: 0.88, lagged_sales: 0.15, event: -0.22",661.12
item_1637,store_3,2024-05-19,"price: 0.24, promotion: -0.33, day_of_week: 0.31, holiday: -0.23, lagged_sales: 0.36, event: -0.32",297.66
item_1650,store_8,2023-12-14,"price: -0.17, promotion: -0.26, day_of_week: 0.55, holiday: -0.32, lagged_sales: 0.86, event: 0.72",457.54
item_873,store_1,2020-03-02,"price: -0.82, promotion: -0.36, day_of_week: 0.9, holiday: 0.9, lagged_sales: 0.15, event: 0.26",476.02
item_2939,store_5,2024-02-16,"price: -0.12, promotion: 0.78, day_of_week: -0.3, holiday: -0.77, lagged_sales: -0.71, event: 0.52",637.31
item_1677,store_8,2020-06-18,"price: -0.26, promotion: 0.63, day_of_week: 0.89, holiday: 0.97, lagged_sales: 0.51, event: -0.25",129.33
item_91,store_3,2020-02-08,"price: 0.3, promotion: 0.49, day_of_week: 0.17, holiday: 0.92, lagged_sales: -0.25, event: -0.43",875.17
item_685,store_5,2020-03-20,"price: -0.57, promotion: -0.41, day_of_week: 0.99, holiday: 0.39, lagged_sales: -0.23, event: 0.47",919.49
item_358,store_8,2021-10-29,"price: 0.95, promotion: 0.97, day_of_week: 0.4, holiday: 0.07, lagged_sales: -0.38, event: 0.63",700.49
item_390,store_2,2022-06-01,"price: -0.18, promotion: 0.56, day_of_week: -0.04, holiday: 0.97, lagged_sales: -0.25, event: 0.5",423.34
item_1634,store_9,2023-01-27,"price: 0.11, promotion: 0.54, day_of_week: 0.89, holiday: 0.7, lagged_sales: -0.51, event: -0.1",172.7
item_1470,store_1,2022-05-30,"price: 0.04, promotion: 0.7, day_of_week: 0.1, holiday: 0.12, lagged_sales: 0.75, event: -0.19",177.31
item_2901,store_2,2020-03-15,"price: -0.82, promotion: 0.45, day_of_week: 0.09, holiday: -0.1, lagged_sales: 0.82, event: -0.4",547.42
item_138,store_8,2023-11-25,"price: 0.16, promotion: -0.32, day_of_week: 0.07, holiday: -0.08, lagged_sales: 0.17, event: -0.2",712.78
item_281,store_3,2023-05-03,"price: -0.65, promotion: -0.82, day_of_week: -0.76, holiday: -0.08, lagged_sales: -0.59, event: -0.27",528.25
item_2297,store_9,2020-08-01,"price: 0.19, promotion: 0.97, day_of_week: 0.07, holiday: 0.85, lagged_sales: -0.53, event: 0.52",554.7
item_2747,store_8,2022-06-01,"price: -0.21, promotion: -0.79, day_of_week: 0.47, holiday: -0.64, lagged_sales: 0.13, event: 0.68",134.74
item_2073,store_4,2023-11-18,"price: 0.13, promotion: -0.24, day_of_week: -0.33, holiday: 0.8, lagged_sales: 0.22, event: -0.51",523.34
item_1461,store_6,2020-10-03,"price: 0.68, promotion: -0.9, day_of_week: -0.96, holiday: 0.39, lagged_sales: 0.99, event: 0.79",597.2
item_118,store_1,2024-06-17,"price: -0.59, promotion: 0.94, day_of_week: 0.42, holiday: -0.6, lagged_sales: 0.47, event: 0.06",721.87
item_1918,store_4,2022-04-24,"price: 0.62, promotion: -0.49, day_of_week: 0.36, holiday: 0.52, lagged_sales: 0.19, event: -0.06",441.25
item_2366,store_2,2020-11-29,"price: 0.68, promotion: -0.72, day_of_week: 0.59, holiday: -0.6, lagged_sales: -0.67, event: -0.67",823.85
item_132,store_9,2022-12-01,"price: -0.12, promotion: 0.15, day_of_week: -0.29, holiday: -0.22, lagged_sales: 0.06, event: -0.87",267.57
item_2627,store_7,2023-04-17,"price: -0.7, promotion: -0.38, day_of_week: -0.5, holiday: 0.49, lagged_sales: -0.93, event: 0.14",774.34
item_2854,store_4,2020-08-03,"price: 0.28, promotion: 0.39, day_of_week: 0.09, holiday: -0.5, lagged_sales: -0.31, event: -0.64",913.03
item_815,store_8,2022-08-15,"price: 0.84, promotion: 0.41, day_of_week: -0.69, holiday: 0.15, lagged_sales: 0.21, event: -0.15",749.62
item_1431,store_1,2022-03-24,"price: 0.18, promotion: -0.2, day_of_week: -0.89, holiday: -0.33, lagged_sales: 0.61, event: -0.99",366.82
item_2123,store_6,2021-01-20,"price: -0.65, promotion: -0.0, day_of_week: -0.16, holiday: 0.83, lagged_sales: -0.28, event: 0.16",650.65
item_967,store_1,2023-01-12,"price: -0.87, promotion: 0.5, day_of_week: -0.58, holiday: 0.8, lagged_sales: -0.59, event: -0.62",84.72
item_2066,store_1,2021-08-12,"price: -0.64, promotion: 0.72, day_of_week: 0.89, holiday: -0.25, lagged_sales: -0.46, event: 0.29",438.3
item_1202,store_7,2023-10-04,"price: 0.6, promotion: -0.64, day_of_week: 0.31, holiday: -0.52, lagged_sales: -0.8, event: -0.51",736.15
item_452,store_4,2020-06-13,"price: -0.95, promotion: -0.64, day_of_week: 0.17, holiday: -0.16, lagged_sales: 0.79, event: 0.63",374.73
item_471,store_7,2021-01-30,"price: 0.53, promotion: -0.72, day_of_week: 0.74, holiday: -0.03, lagged_sales: 0.79, event: 0.6",453.95
item_2600,store_2,2020-08-24,"price: -0.46, promotion: -0.96, day_of_week: 0.83, holiday: -0.76, lagged_sales: 0.15, event: -0.45",576.47
item_1623,store_5,2020-12-07,"price: 0.83, promotion: -0.16, day_of_week: -0.23, holiday: 0.04, lagged_sales: -0.91, event: -0.67",751.13
item_794,store_5,2023-08-12,"price: 0.87, promotion: 0.47, day_of_week: -0.57, holiday: -0.94, lagged_sales: -0.48, event: 0.19",98.85
item_482,store_9,2020-06-02,"price: -0.51, promotion: 0.64, day_of_week: 0.6, holiday: 0.39, lagged_sales: -0.46, event: 0.18",392.93
item_1041,store_9,2024-02-29,"price: 0.27, promotion: 0.96, day_of_week: 0.81, holiday: 0.29, lagged_sales: 0.39, event: -0.9",686.42
item_401,store_7,2022-09-07,"price: 0.89, promotion: -0.05, day_of_week: 0.72, holiday: 0.69, lagged_sales: -0.36, event: 0.66",85.16
item_2236,store_2,2020-05-10,"price: 0.32, promotion: 0.48, day_of_week: 0.04, holiday: -0.15, lagged_sales: 0.75, event: -0.16",488.85
item_1805,store_2,2023-12-10,"price: 0.26, promotion: 0.75, day_of_week: 0.97, holiday: 0.54, lagged_sales: -0.16, event: -0.16",750.7
item_1166,store_8,2020-11-19,"price: 0.36, promotion: -0.56, day_of_week: 0.9, holiday: 0.57, lagged_sales: -0.82, event: -0.16",885.16
item_1869,store_2,2023-03-22,"price: -0.54, promotion: -0.65, day_of_week: -0.56, holiday: -0.63, lagged_sales: 0.56, event: -0.3",104.95
item_1044,store_1,2024-05-15,"price: -0.55, promotion: 0.07, day_of_week: 0.19, holiday: 0.16, lagged_sales: -0.82, event: 0.75",302.32
item_921,store_2,2023-09-17,"price: -0.48, promotion: 0.45, day_of_week: -0.01, holiday: -0.84, lagged_sales: -0.56, event: 0.37",122.32
item_2272,store_3,2021-11-28,"price: 0.32, promotion: 0.7, day_of_week: 0.73, holiday: 0.42, lagged_sales: 0.67, event: 0.39",696.13
item_2055,store_5,2021-07-10,"price: -1.0, promotion: 0.11, day_of_week: 0.51, holiday: -0.48, lagged_sales: -0.61, event: -0.83",360.11
item_2914,store_8,2020-12-30,"price: -0.64, promotion: 0.51, day_of_week: 0.58, holiday: -0.65, lagged_sales: 0.54, event: 0.89",208.06
item_886,store_1,2020-01-22,"price: 0.19, promotion: -0.23, day_of_week: -0.87, holiday: 0.64, lagged_sales: -0.26, event: 0.64",289.88
item_738,store_4,2023-01-27,"price: -0.54, promotion: -0.74, day_of_week: 0.74, holiday: 0.93, lagged_sales: -0.94, event: 0.46",914.05
item_1683,store_9,2024-01-16,"price: 0.43, promotion: 0.13, day_of_week: -0.06, holiday: 0.09, lagged_sales: -0.68, event: -0.59",136.61
item_2036,store_7,2021-01-21,"price: -0.77, promotion: -0.75, day_of_week: 0.37, holiday: -0.14, lagged_sales: -0.6, event: -0.02",111.0
item_1368,store_8,2021-01-29,"price: -0.42, promotion: 0.39, day_of_week: 0.72, holiday: 0.56, lagged_sales: -0.92, event: -0.04",149.68
item_1696,store_6,2023-01-14,"price: -0.3, promotion: -0.93, day_of_week: -0.84, holiday: -0.21, lagged_sales: -0.73, event: 0.14",704.99
item_887,store_1,2020-11-12,"price: 0.43, promotion: 0.6, day_of_week: -0.32, holiday: 0.63, lagged_sales: -0.84, event: 0.79",570.21
item_515,store_9,2022-05-23,"price: 0.95, promotion: -0.33, day_of_week: -0.64, holiday: 0.58, lagged_sales: 0.32, event: -0.0",577.6
item_312,store_9,2022-12-18,"price: -0.65, promotion: 0.92, day_of_week: -0.17, holiday: 0.69, lagged_sales: 0.26, event: 0.47",779.34
item_2995,store_9,2021-02-23,"price: 0.18, promotion: 0.82, day_of_week: -0.58, holiday: 0.25, lagged_sales: 0.26, event: 0.47",174.99
item_1623,store_2,2021-01-09,"price: -0.28, promotion: 0.19, day_of_week: -0.67, holiday: -0.22, lagged_sales: 0.94, event: -0.48",673.9
item_301,store_7,2023-08-19,"price: -0.14, promotion: -0.5, day_of_week: 0.23, holiday: 0.41, lagged_sales: -0.67, event: -0.66",84.84
item_2213,store_1,2024-02-29,"price: -0.89, promotion: 0.06, day_of_week: 0.87, holiday: -0.92, lagged_sales: -0.76, event: -0.1",937.18
item_1230,store_4,2021-11-23,"price: 0.03, promotion: -0.02, day_of_week: 0.33, holiday: -0.72, lagged_sales: -0.94, event: -0.38",719.45
item_2034,store_5,2020-05-08,"price: -0.25, promotion: -0.96, day_of_week: -0.51, holiday: 0.66, lagged_sales: 0.73, event: 0.54",157.45
item_1311,store_5,2023-08-20,"price: 0.99, promotion: 0.5, day_of_week: -0.82, holiday: -0.42, lagged_sales: -0.78, event: 0.3",776.93
item_2445,store_9,2023-07-26,"price: 0.22, promotion: 0.13, day_of_week: -0.24, holiday: 0.1, lagged_sales: 0.19, event: 0.09",472.2
item_2890,store_2,2022-07-30,"price: -0.24, promotion: -0.2, day_of_week: 0.16, holiday: 0.07, lagged_sales: 0.22, event: 0.53",822.34
item_1005,store_5,2021-02-10,"price: 0.87, promotion: -0.3, day_of_week: -0.8, holiday: -0.03, lagged_sales: -0.49, event: -0.43",341.93
item_106,store_4,2021-10-31,"price: 0.6, promotion: -0.63, day_of_week: -0.41, holiday: 0.59, lagged_sales: -0.63, event: 0.84",453.3
item_1196,store_8,2023-10-17,"price: 0.22, promotion: -0.18, day_of_week: 0.68, holiday: 0.8, lagged_sales: -0.29, event: -0.53",791.5
item_2905,store_2,2022-07-03,"price: 0.07, promotion: -0.64, day_of_week: -0.38, holiday: -0.54, lagged_sales: -0.59, event: 0.28",294.04
item_921,store_2,2023-09-05,"price: -0.32, promotion: 0.64, day_of_week: 0.21, holiday: -0.33, lagged_sales: 0.81, event: 0.55",301.65
item_73,store_8,2023-10-08,"price: 0.28, promotion: -0.46, day_of_week: 0.19, holiday: 0.36, lagged_sales: -0.54, event: -0.09",230.81
item_2662,store_1,2020-12-19,"price: -0.6, promotion: 0.07, day_of_week: -0.81, holiday: -0.1, lagged_sales: 0.51, event: -0.3",681.67
item_237,store_7,2020-12-13,"price: 0.25, promotion: -0.82, day_of_week: 0.51, holiday: -0.74, lagged_sales: 0.65, event: 0.56",723.31
item_2162,store_2,2020-12-26,"price: 0.75, promotion: -0.68, day_of_week: 0.57, holiday: 0.15, lagged_sales: 0.13, event: -0.22",526.1
item_1453,store_3,2023-03-27,"price: -0.95, promotion: -0.69, day_of_week: -0.55, holiday: 0.91, lagged_sales: 0.15, event: 0.87",596.41
item_95,store_1,2023-02-07,"price: -0.86, promotion: -0.95, day_of_week: -0.73, holiday: 0.93, lagged_sales: 0.1, event: 0.93",460.87
item_1682,store_6,2021-11-02,"price: -0.58, promotion: -0.03, day_of_week: 0.51, holiday: 0.24, lagged_sales: -0.41, event: -0.14",212.13
item_883,store_7,2023-01-08,"price: 0.25, promotion: 0.05, day_of_week: -0.15, holiday: -0.74, lagged_sales: 0.77, event: -0.1",234.89
item_1550,store_7,2021-08-20,"price: -0.73, promotion: 0.07, day_of_week: -0.57, holiday: -0.98, lagged_sales: -0.52, event: 0.95",811.46
item_497,store_5,2020-11-03,"price: -0.25, promotion: -0.21, day_of_week: -0.08, holiday: 0.57, lagged_sales: 0.78, event: 0.91",797.56
